distance,steps,weight,active1,active2,active3,sedentary,calories,actcal,biking,date,month,year
5.22,10663,0,478,0,0,962,2087,945,0.0,2012-11-01,11,2012
5.43,11085,0,601,0,0,839,2316,1320,15.3,2012-11-02,11,2012
8.46,17284,0,508,0,0,932,2479,1372,0.0,2012-11-03,11,2012
5.41,11044,0,548,0,0,892,2298,1239,10.5,2012-11-04,11,2012
4.96,10131,0,0,0,0,1440,1976,0,0.0,2012-11-05,11,2012
2.05,4180,0,0,0,0,1440,1645,0,0.0,2012-11-06,11,2012
2.62,5355,0,0,0,0,1440,1818,0,0.0,2012-11-07,11,2012
2.6,5320,0,0,0,0,1440,1839,0,0.0,2012-11-08,11,2012
4.83,9869,0,467,0,0,973,2215,1060,0.0,2012-11-09,11,2012
6.29,12846,0,476,0,0,964,2227,1082,0.0,2012-11-10,11,2012
6.21,12690,0,426,0,0,1014,2249,1045,0.0,2012-11-11,11,2012
4.69,9576,0,607,0,0,833,2141,1152,9.0,2012-11-12,11,2012
4.19,8550,0,0,0,0,1440,1952,0,0.0,2012-11-13,11,2012
3.92,8005,0,0,0,0,1440,1919,0,0.0,2012-11-14,11,2012
2.18,4447,0,0,0,0,1440,1697,0,0.0,2012-11-15,11,2012
7.32,14956,0,498,0,0,942,2286,1167,0.0,2012-11-16,11,2012
6.24,12734,0,565,0,0,875,2243,1204,0.0,2012-11-17,11,2012
5.76,11758,0,602,0,0,838,2271,1276,7.0,2012-11-18,11,2012
3.5,7150,0,525,0,0,915,2034,947,16.1,2012-11-19,11,2012
4.3,8774,0,595,0,0,845,2417,1414,0.0,2012-11-20,11,2012
6.26,12793,0,552,0,0,888,2344,1290,16.0,2012-11-21,11,2012
8.33,17017,0,626,0,0,814,2593,1626,10.0,2012-11-22,11,2012
7.32,14945,0,619,0,0,821,2432,1457,0.0,2012-11-23,11,2012
8.56,17487,0,564,0,0,876,2495,1455,0.0,2012-11-24,11,2012
6.35,12971,0,477,0,0,963,2326,1182,0.0,2012-11-25,11,2012
4.43,9042,0,541,0,0,899,2185,1117,16.1,2012-11-26,11,2012
5.13,10475,0,518,0,0,922,2098,1003,0.0,2012-11-27,11,2012
4.74,9689,0,0,0,0,1440,2031,0,0.0,2012-11-28,11,2012
4.17,8525,0,0,0,0,1440,1995,0,0.0,2012-11-29,11,2012
4.86,9923,0,489,0,0,951,2165,1036,0.0,2012-11-30,11,2012
6.86,14008,0,600,0,0,840,2372,1375,0.0,2012-12-01,12,2012
6.07,12401,0,433,0,0,1007,2282,1086,0.0,2012-12-02,12,2012
2.32,4746,0,0,0,0,1440,1793,0,0.0,2012-12-03,12,2012
4.58,9346,0,0,0,0,1440,1892,0,0.0,2012-12-04,12,2012
5.86,11970,0,0,0,0,1440,2035,0,0.0,2012-12-05,12,2012
3.43,7003,0,0,0,0,1440,1808,0,0.0,2012-12-06,12,2012
3.16,6450,0,0,0,0,1440,1921,0,0.0,2012-12-07,12,2012
8.07,16480,0,589,0,0,851,2518,1508,15.0,2012-12-08,12,2012
3.8,7761,0,0,0,0,1440,1957,0,0.0,2012-12-09,12,2012
5.22,10665,0,0,0,0,1440,1971,0,0.0,2012-12-10,12,2012
2.52,5146,0,0,0,0,1440,1759,0,0.0,2012-12-11,12,2012
6.08,12427,0,583,0,0,857,2196,1178,0.0,2012-12-12,12,2012
5.84,11926,190,518,0,0,922,2195,1100,0.0,2012-12-13,12,2012
4.54,9279,189,0,0,0,1440,2037,0,0.0,2012-12-14,12,2012
8.31,16966,190,449,0,0,991,2312,1135,0.0,2012-12-15,12,2012
9.47,19332,0,498,0,0,942,2558,1442,0.0,2012-12-16,12,2012
4.79,9788,188.4,0,0,0,1440,2008,0,0.0,2012-12-17,12,2012
4.18,8541,187.1,628,0,0,812,2080,1123,10.0,2012-12-18,12,2012
7.65,15614,186.8,632,0,0,808,2355,1404,0.0,2012-12-19,12,2012
6.83,13955,186.9,0,0,0,1440,2040,0,0.0,2012-12-20,12,2012
7.46,15227,0,676,0,0,764,2290,1391,0.0,2012-12-21,12,2012
8.6,17566,186.4,635,0,0,805,2430,1483,0.0,2012-12-22,12,2012
6.71,13701,188.1,553,0,0,887,2238,1190,0.0,2012-12-23,12,2012
8.24,16835,186.5,651,0,0,789,2522,1594,16.8,2012-12-24,12,2012
6.14,12530,185.4,518,0,0,922,2176,1094,0.0,2012-12-25,12,2012
7.91,16163,187.5,603,0,0,837,2230,1243,0.0,2012-12-26,12,2012
6.67,13623,185.4,624,0,0,816,2283,1326,13.2,2012-12-27,12,2012
6.08,12422,184.2,641,0,0,799,2148,1214,0.0,2012-12-28,12,2012
13.4,27365,0,657,0,0,783,2462,1543,0.0,2012-12-29,12,2012
8.27,16880,0,523,0,0,917,2491,1414,12.2,2012-12-30,12,2012
5.79,11819,186.8,575,0,0,865,2196,1177,11.3,2012-12-31,12,2012
7.74,15798,184.5,540,0,0,900,2322,1269,0.0,2013-01-01,1,2013
4.72,9642,184.2,0,0,0,1440,2015,0,10.0,2013-01-02,1,2013
4.92,10049,184.2,0,0,0,1440,1977,0,0.0,2013-01-03,1,2013
6.92,14136,183.9,670,0,0,770,2125,1225,0.0,2013-01-04,1,2013
6.67,13624,184.5,680,0,0,760,2209,1320,0.0,2013-01-05,1,2013
7.55,15426,185.4,525,0,0,915,2336,1262,0.0,2013-01-06,1,2013
4.28,8749,184.2,548,0,0,892,2044,1001,16.1,2013-01-07,1,2013
5.61,11459,182.8,0,0,0,1440,2044,0,6.0,2013-01-08,1,2013
4.76,9729,183.3,0,0,0,1440,2018,0,0.0,2013-01-09,1,2013
5.01,10232,182.3,0,0,0,1440,2011,0,10.0,2013-01-10,1,2013
6.18,12628,181.1,657,0,0,783,2179,1271,0.0,2013-01-11,1,2013
9,18390,0,622,0,0,818,2471,1520,0.0,2013-01-12,1,2013
6.16,12581,0,494,0,0,946,2143,1042,0.0,2013-01-13,1,2013
4.82,9844,183.3,0,0,0,1440,2032,0,0.0,2013-01-14,1,2013
5.42,11077,181.9,651,0,0,789,2125,1208,12.1,2013-01-15,1,2013
6.56,13390,181.5,611,0,0,829,2112,1150,0.0,2013-01-16,1,2013
4.52,9224,182.1,639,0,0,801,2056,1125,16.5,2013-01-17,1,2013
3.94,8054,182.1,0,0,0,1440,2005,0,0.0,2013-01-18,1,2013
8.32,17001,182.5,569,0,0,871,2323,1309,0.0,2013-01-19,1,2013
8.65,17659,0,542,0,0,898,2312,1265,0.0,2013-01-20,1,2013
2.81,5734,183.5,0,0,0,1440,1848,0,0.0,2013-01-21,1,2013
3.7,7552,0,0,0,0,1440,1932,0,0.0,2013-01-22,1,2013
5.75,11748,182.9,841,0,0,599,2480,1782,0.0,2013-01-23,1,2013
5.44,11101,0,766,0,0,674,2181,1396,0.0,2013-01-24,1,2013
3.1,6332,0,0,0,0,1440,1951,0,0.0,2013-01-25,1,2013
3.06,6250,0,0,0,0,1440,1894,0,0.0,2013-01-26,1,2013
4.22,8625,0,0,0,0,1440,2106,0,0.0,2013-01-27,1,2013
4.53,9250,0,0,0,0,1440,2048,0,0.0,2013-01-28,1,2013
7.34,14991,182.4,659,0,0,781,2229,1320,0.0,2013-01-29,1,2013
4.8,9795,183.2,577,0,0,863,2030,1024,15.1,2013-01-30,1,2013
4.22,8624,181.6,661,0,0,779,2060,1156,14.7,2013-01-31,1,2013
6.64,13554,182.1,644,0,0,796,2453,1528,10.2,2013-02-01,2,2013
11.1,22668,181.2,669,0,0,771,2538,1644,0.0,2013-02-02,2,2013
6.98,14254,0,582,0,0,858,2272,1276,0.0,2013-02-03,2,2013
4.92,10054,181.6,684,0,0,756,2468,1590,16.3,2013-02-04,2,2013
4.78,9768,180.5,627,0,0,813,2394,1453,0.0,2013-02-05,2,2013
4.43,9041,182.4,0,0,0,1440,2066,0,11.3,2013-02-06,2,2013
3.79,7740,180.5,0,0,0,1440,1785,0,0.0,2013-02-07,2,2013
6.39,13051,180.3,635,0,0,805,2045,1114,0.0,2013-02-08,2,2013
6.39,13057,181.6,675,0,0,765,2081,1193,0.0,2013-02-09,2,2013
6.56,13389,0,658,0,0,782,2218,1310,0.0,2013-02-10,2,2013
5.23,10685,182,621,0,0,819,2116,1164,12.8,2013-02-11,2,2013
7.62,15559,180.9,637,0,0,803,2441,1511,15.7,2013-02-12,2,2013
3.91,7981,180.3,0,0,0,1440,1858,0,0.0,2013-02-13,2,2013
7.6,15530,180.4,562,0,0,878,2375,1359,10.0,2013-02-14,2,2013
5.04,10287,178.9,0,0,0,1440,2005,0,0.0,2013-02-15,2,2013
9.94,20307,179.3,570,0,0,870,2807,1803,12.9,2013-02-16,2,2013
5.55,11332,178.8,642,0,0,798,2195,1275,0.0,2013-02-17,2,2013
5.27,10753,180,565,0,0,875,2091,1080,6.0,2013-02-18,2,2013
3.46,7074,178.9,0,0,0,1440,1829,0,0.0,2013-02-19,2,2013
5.14,10499,178.7,707,0,0,733,2337,1493,13.0,2013-02-20,2,2013
6.53,13346,177.9,578,0,0,862,2234,1243,0.0,2013-02-21,2,2013
4.59,9367,177.7,647,0,0,793,2132,1221,16.0,2013-02-22,2,2013
10.58,21611,177.6,600,0,0,840,2344,1379,0.0,2013-02-23,2,2013
10.45,21346,0,665,0,0,775,2376,1485,0.0,2013-02-24,2,2013
7.69,15704,0,577,0,0,863,2271,1279,0.0,2013-02-25,2,2013
7.56,15439,178.1,577,0,0,863,2563,1571,23.5,2013-02-26,2,2013
5.19,10595,176.7,745,0,0,695,2207,1411,10.0,2013-02-27,2,2013
5.47,11177,176.9,589,0,0,851,2191,1215,12.0,2013-02-28,2,2013
5.98,12216,177.1,619,0,0,821,2363,1421,18.9,2013-03-01,3,2013
8.62,17609,176.1,600,0,0,840,2395,1434,0.0,2013-03-02,3,2013
5.98,12215,0,465,0,0,975,2356,1242,10.0,2013-03-03,3,2013
5.66,11566,175.5,590,0,0,850,2141,1170,9.0,2013-03-04,3,2013
5.48,11188,175,499,0,0,941,2150,1077,0.0,2013-03-05,3,2013
7.1,14507,174.2,585,0,0,855,2131,1158,0.0,2013-03-06,3,2013
5.87,11983,175,653,0,0,787,2040,1143,0.0,2013-03-07,3,2013
5.47,11175,173.7,657,0,0,783,2202,1312,15.0,2013-03-08,3,2013
5.96,12181,0,661,0,0,779,2063,1177,0.0,2013-03-09,3,2013
5.48,11185,0,563,0,0,877,2278,1281,0.0,2013-03-10,3,2013
5.75,11748,0,642,0,0,798,2184,1277,16.1,2013-03-11,3,2013
8.25,16842,174,604,0,0,836,2514,1563,10.0,2013-03-12,3,2013
5.46,11148,174.3,621,0,0,819,2162,1230,13.0,2013-03-13,3,2013
5.15,10510,174.2,603,0,0,837,1998,1046,0.0,2013-03-14,3,2013
5.84,11924,173.4,739,0,0,701,2169,1373,17.4,2013-03-15,3,2013
6.1,12455,174.2,758,0,0,682,2353,1577,14.7,2013-03-16,3,2013
5.43,11085,173.8,642,0,0,798,2368,1461,0.0,2013-03-17,3,2013
6.28,12819,173.1,590,0,0,850,2106,1142,0.0,2013-03-18,3,2013
5.94,12141,173.4,577,0,0,863,2265,1285,16.0,2013-03-19,3,2013
6.38,13024,172.6,582,0,0,858,2292,1320,0.0,2013-03-20,3,2013
6.93,14158,172.5,664,0,0,776,2344,1465,10.0,2013-03-21,3,2013
8.3,16955,173,622,0,0,818,2307,1379,0.0,2013-03-22,3,2013
8.34,17026,171.8,606,0,0,834,2314,1371,0.0,2013-03-23,3,2013
5.91,12066,173.2,500,0,0,940,2224,1157,12.3,2013-03-24,3,2013
4.67,9539,173.3,619,0,0,821,1999,1067,15.1,2013-03-25,3,2013
5.05,10314,172.2,612,0,0,828,2146,1209,15.1,2013-03-26,3,2013
6.48,13226,172.9,619,0,0,821,2124,1193,0.0,2013-03-27,3,2013
5,10202,170.7,668,0,0,772,2111,1241,17.3,2013-03-28,3,2013
8.67,17717,170.1,710,0,0,730,2654,1833,23.5,2013-03-29,3,2013
8.16,16656,169.4,640,0,0,800,2325,1427,0.0,2013-03-30,3,2013
4.94,10082,170.7,632,0,0,808,2036,1125,0.0,2013-03-31,3,2013
5.11,10429,0,0,0,0,1440,2001,0,0.0,2013-04-01,4,2013
3.64,7433,0,0,0,0,1440,1887,0,0.0,2013-04-02,4,2013
3.01,6156,0,0,0,0,1440,1739,0,0.0,2013-04-03,4,2013
5.55,11336,170.9,757,0,0,683,2057,1287,0.0,2013-04-04,4,2013
5.5,11239,0,660,0,0,780,2016,1139,0.0,2013-04-05,4,2013
6.06,12368,0,637,0,0,803,2109,1207,0.0,2013-04-06,4,2013
4.19,8554,0,0,0,0,1440,1854,0,0.0,2013-04-07,4,2013
3.81,7786,169.1,0,0,0,1440,1815,0,0.0,2013-04-08,4,2013
5.13,10472,0,0,0,0,1440,1922,0,0.0,2013-04-09,4,2013
5.05,10316,0,0,0,0,1440,1898,0,0.0,2013-04-10,4,2013
2.89,5912,0,0,0,0,1440,1811,0,0.0,2013-04-11,4,2013
4.13,8437,171.2,607,0,0,833,2234,1294,20.0,2013-04-12,4,2013
8.26,16871,169.1,624,0,0,816,2636,1721,10.0,2013-04-13,4,2013
8.16,16667,0,546,0,0,894,2298,1298,0.0,2013-04-14,4,2013
5.67,11579,0,634,0,0,806,2273,1372,15.1,2013-04-15,4,2013
5.65,11549,0,532,0,0,908,2191,1177,9.7,2013-04-16,4,2013
7.96,16254,0,611,0,0,829,2353,1427,9.5,2013-04-17,4,2013
6.42,13113,0,528,0,0,912,2233,1215,10.1,2013-04-18,4,2013
6.63,13546,167,616,0,0,824,2424,1505,11.7,2013-04-19,4,2013
4.78,9756,166.1,0,0,0,1440,1951,0,0.0,2013-04-20,4,2013
11,22460,168.1,651,0,0,789,2966,2083,13.7,2013-04-21,4,2013
3.19,6518,167,0,0,0,1440,1884,0,0.0,2013-04-22,4,2013
3.14,6403,0,0,0,0,1440,1730,0,0.0,2013-04-23,4,2013
5.03,10273,0,0,0,0,1440,1896,0,0.0,2013-04-24,4,2013
8.55,17470,166.4,667,0,0,773,2690,1829,16.9,2013-04-25,4,2013
4.54,9278,167,650,0,0,790,2120,1239,10.1,2013-04-26,4,2013
5.51,11243,166.8,664,0,0,776,2096,1231,0.0,2013-04-27,4,2013
5.66,11565,0,550,0,0,890,2080,1087,0.0,2013-04-28,4,2013
6.72,13732,167.4,628,0,0,812,2278,1372,11.4,2013-04-29,4,2013
4.09,8349,0,0,0,0,1440,1829,0,0.0,2013-04-30,4,2013
5.62,11468,165.7,682,0,0,758,2299,1457,15.1,2013-05-01,5,2013
8.08,16505,164.4,726,0,0,714,2380,1590,10.0,2013-05-02,5,2013
5.45,11126,164.7,713,0,0,727,2204,1399,17.6,2013-05-03,5,2013
8.32,17001,0,585,0,0,855,2327,1380,0.0,2013-05-04,5,2013
6.45,13173,0,537,0,0,903,2255,1254,0.0,2013-05-05,5,2013
5.32,10862,164.8,671,0,0,769,2164,1312,11.5,2013-05-06,5,2013
6.97,14233,166.4,745,0,0,695,2361,1587,0.0,2013-05-07,5,2013
4.8,9801,165.5,637,0,0,803,2267,1375,11.5,2013-05-08,5,2013
7.06,14413,163.9,726,0,0,714,2464,1675,15.6,2013-05-09,5,2013
6.88,14060,165.1,701,0,0,739,2418,1598,13.0,2013-05-10,5,2013
9.74,19889,165.5,705,0,0,735,2615,1799,0.0,2013-05-11,5,2013
11.73,23953,0,679,0,0,761,2732,1889,0.0,2013-05-12,5,2013
6.01,12281,164.2,664,0,0,776,2469,1611,25.0,2013-05-13,5,2013
6.39,13060,164.3,644,0,0,796,2102,1221,0.0,2013-05-14,5,2013
7.2,14709,163.7,647,0,0,793,2494,1618,17.5,2013-05-15,5,2013
4.83,9857,162.6,0,0,0,1440,1918,0,0.0,2013-05-16,5,2013
7.71,15743,0,677,0,0,763,2144,1303,0.0,2013-05-17,5,2013
4.41,9007,0,671,0,0,769,2150,1302,9.8,2013-05-18,5,2013
6.18,12625,163.1,563,0,0,877,2472,1505,19.5,2013-05-19,5,2013
6.96,14222,163.2,622,0,0,818,2393,1491,15.0,2013-05-20,5,2013
4.53,9260,163,0,0,0,1440,1847,0,0.0,2013-05-21,5,2013
5,10215,163.4,763,0,0,677,2019,1272,0.0,2013-05-22,5,2013
10.03,20476,0,820,0,0,620,2654,1969,0.0,2013-05-23,5,2013
5.7,11649,0,685,0,0,755,2179,1345,0.0,2013-05-24,5,2013
10.15,20733,0,669,0,0,771,2547,1695,0.0,2013-05-25,5,2013
7.33,14969,0,686,0,0,754,2266,1433,0.0,2013-05-26,5,2013
7.38,15065,0,647,0,0,793,2275,1398,0.0,2013-05-27,5,2013
11.56,23602,0,731,0,0,709,3050,2266,25.6,2013-05-28,5,2013
4.15,8482,0,0,0,0,1440,1869,0,0.0,2013-05-29,5,2013
2.6,5318,0,0,0,0,1440,1690,0,0.0,2013-05-30,5,2013
5.31,10853,0,763,0,0,677,2200,1452,0.0,2013-05-31,5,2013
8.57,17506,164.1,554,0,0,886,2600,1620,9.7,2013-06-01,6,2013
5.74,11725,0,570,0,0,870,2286,1326,11.5,2013-06-02,6,2013
6.38,13026,162.8,691,0,0,749,2362,1537,14.0,2013-06-03,6,2013
7.04,14383,162.7,607,0,0,833,2532,1614,17.0,2013-06-04,6,2013
6.08,12424,161.6,539,0,0,901,2222,1232,11.5,2013-06-05,6,2013
6.48,13227,160.7,664,0,0,776,2330,1480,16.5,2013-06-06,6,2013
5.63,11507,162,645,0,0,795,2292,1418,19.3,2013-06-07,6,2013
8.78,17931,161,632,0,0,808,2474,1588,0.0,2013-06-08,6,2013
5.77,11780,0,682,0,0,758,2144,1314,0.0,2013-06-09,6,2013
7.63,15584,160.5,620,0,0,820,2457,1559,13.2,2013-06-10,6,2013
4.49,9177,160.6,503,0,0,937,2166,1140,16.1,2013-06-11,6,2013
4.77,9749,161,645,0,0,795,2011,1140,0.0,2013-06-12,6,2013
2.76,5640,0,0,0,0,1440,1756,0,0.0,2013-06-13,6,2013
2.7,5517,0,0,0,0,1440,1722,0,0.0,2013-06-14,6,2013
4.42,9031,0,625,0,0,815,2152,1255,0.0,2013-06-15,6,2013
6.91,14113,162.7,530,0,0,910,2386,1383,15.1,2013-06-16,6,2013
4.25,8674,160.8,648,0,0,792,1991,1123,0.0,2013-06-17,6,2013
5.81,11856,160.8,545,0,0,895,2328,1347,16.1,2013-06-18,6,2013
7.27,14852,160.2,672,0,0,768,2464,1624,15.1,2013-06-19,6,2013
4.57,9334,161.2,635,0,0,805,2053,1170,13.6,2013-06-20,6,2013
5.59,11417,159.9,680,0,0,760,2238,1408,12.7,2013-06-21,6,2013
4.29,8766,159.9,595,0,0,845,2086,1162,0.0,2013-06-22,6,2013
6.2,12672,0,504,0,0,936,2272,1247,0.0,2013-06-23,6,2013
3.85,7863,0,617,0,0,823,1965,1063,0.0,2013-06-24,6,2013
4.64,9485,161.4,539,0,0,901,1924,935,0.0,2013-06-25,6,2013
5.72,11688,160.6,536,0,0,904,2428,1438,21.1,2013-06-26,6,2013
6.01,12279,159.1,624,0,0,816,2109,1219,10.0,2013-06-27,6,2013
3.89,7941,159.5,648,0,0,792,2061,1197,12.0,2013-06-28,6,2013
10.22,20881,160.1,689,0,0,751,2703,1882,11.8,2013-06-29,6,2013
6.83,13948,0,532,0,0,908,2213,1221,0.0,2013-06-30,6,2013
6.58,13433,159.3,655,0,0,785,2136,1280,11.0,2013-07-01,7,2013
4.84,9891,159.7,501,0,0,939,2074,1048,17.6,2013-07-02,7,2013
3.06,6251,157.3,0,0,0,1440,1709,0,0.0,2013-07-03,7,2013
9.37,19145,159.2,733,0,0,707,2414,1643,0.0,2013-07-04,7,2013
9.72,19852,160.1,785,0,0,655,2405,1689,10.0,2013-07-05,7,2013
7.37,15055,0,547,0,0,893,2058,1082,0.0,2013-07-06,7,2013
6.25,12756,159.8,420,0,0,1020,2206,1092,9.9,2013-07-07,7,2013
7.29,14898,161,647,0,0,793,2293,1424,18.2,2013-07-08,7,2013
4.42,9030,159.1,0,0,0,1440,1859,0,0.0,2013-07-09,7,2013
7.79,15902,0,708,0,0,732,2188,1390,0.0,2013-07-10,7,2013
5.19,10598,0,0,0,0,1440,1840,0,0.0,2013-07-11,7,2013
5.28,10782,0,762,0,0,678,2058,1318,0.0,2013-07-12,7,2013
4.64,9476,159.5,0,0,0,1440,1941,0,0.0,2013-07-13,7,2013
6.65,13590,0,695,0,0,745,2044,1230,0.0,2013-07-14,7,2013
6.38,13040,0,716,0,0,724,2095,1304,11.5,2013-07-15,7,2013
4.14,8457,160,0,0,0,1440,1816,0,0.0,2013-07-16,7,2013
3.25,6638,158.6,0,0,0,1440,1786,0,0.0,2013-07-17,7,2013
5,10220,157.7,706,0,0,734,2063,1266,18.6,2013-07-18,7,2013
8.27,16898,155.6,677,0,0,763,2248,1425,10.0,2013-07-19,7,2013
2.13,4345,158.5,0,0,0,1440,1626,0,0.0,2013-07-20,7,2013
5.22,10660,0,700,0,0,740,2093,1286,0.0,2013-07-21,7,2013
4.95,10116,160.1,853,0,0,587,3106,2464,22.3,2013-07-22,7,2013
7.06,14421,158.9,771,0,0,669,2355,1626,0.0,2013-07-23,7,2013
3.34,6827,159.6,0,0,0,1440,1865,0,0.0,2013-07-24,7,2013
4.83,9856,0,0,0,0,1440,1852,0,0.0,2013-07-25,7,2013
3.89,7936,0,0,0,0,1440,1792,0,0.0,2013-07-26,7,2013
5.88,11999,0,643,0,0,797,2072,1200,0.0,2013-07-27,7,2013
8.52,17407,0,616,0,0,824,2207,1305,0.0,2013-07-28,7,2013
4.03,8302,160.5,13,0,0,1427,1808,29,15.6,2013-07-29,7,2013
6.21,12690,160.2,648,0,0,792,2115,1249,14.6,2013-07-30,7,2013
5.48,11202,159.1,630,0,0,810,2060,1177,17.6,2013-07-31,7,2013
4.3,8791,159.1,696,0,0,744,2038,1227,15.1,2013-08-01,8,2013
6.73,13746,159.7,743,0,0,697,2081,1320,0.0,2013-08-02,8,2013
